LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,TotalRes11,TotalRes21,sqkm21
E01003369,Merton 005B,E01003369,Merton 005B,U,E09000024,Merton,1656,1641,0.09362
E01003453,Merton 023E,E01003453,Merton 023E,U,E09000024,Merton,1695,1839,0.20564
E01003370,Merton 005C,E01003370,Merton 005C,U,E09000024,Merton,1979,1989,0.15278
E01003454,Merton 003B,E01003454,Merton 003B,U,E09000024,Merton,1362,1362,0.15692
E01003371,Merton 005D,E01003371,Merton 005D,U,E09000024,Merton,1558,1551,0.12097
E01003455,Merton 005E,E01003455,Merton 005E,U,E09000024,Merton,1579,1670,0.21214
E01003372,Merton 008B,E01003372,Merton 008B,U,E09000024,Merton,1532,1704,0.1275
E01003456,Merton 003C,E01003456,Merton 003C,U,E09000024,Merton,1547,1602,0.23839
E01003373,Merton 018A,E01003373,Merton 018A,U,E09000024,Merton,1465,1551,0.17117
E01003374,Merton 022A,E01003374,Merton 022A,U,E09000024,Merton,1440,1811,0.3337
E01003375,Merton 022B,E01003375,Merton 022B,U,E09000024,Merton,1616,1779,1.82734
E01003376,Merton 012B,E01003376,Merton 012B,U,E09000024,Merton,1553,1571,0.19616
E01003377,Merton 012C,E01003377,Merton 012C,U,E09000024,Merton,1562,1641,0.10965
E01003378,Merton 018B,E01003378,Merton 018B,U,E09000024,Merton,1992,2240,0.22406
E01003379,Merton 018C,E01003379,Merton 018C,U,E09000024,Merton,1846,2025,0.13518
E01003380,Merton 011A,E01003380,Merton 011A,U,E09000024,Merton,1648,1746,0.22909
E01003381,Merton 016B,E01003381,Merton 016B,U,E09000024,Merton,1451,1572,0.15432
E01003382,Merton 011B,E01003382,Merton 011B,U,E09000024,Merton,1539,1783,0.16511
