MSOA21CD,PM10d-2019-min,PM10d-2019-max,PM10d-2019-mean,PM10d-2019-std,PM10d-2019-median
E02000534,3.306,71.671,4.968,3.442,4.003
E02000535,3.532,65.492,4.833,3.693,3.938
E02000536,3.401,57.798,4.467,2.907,3.812
E02000537,3.303,80.733,4.137,2.439,3.72
E02000538,3.402,84.241,4.883,3.632,4.072
E02000539,3.354,40.09,4.526,1.98,4.009
E02000540,3.571,25.537,4.322,1.719,3.947
E02000541,3.452,50.733,4.327,2.2,3.878
E02000542,3.476,49.408,4.458,2.042,3.931
E02000543,3.251,46.626,4.398,2.342,3.931
E02000544,3.298,6.943,3.697,0.354,3.621
E02000545,3.339,33.156,3.925,1.193,3.711
E02000546,2.919,20.786,3.507,0.958,3.358
E02000547,3.563,38.108,4.635,1.574,4.283
E02000548,2.473,30.055,4.294,1.744,3.853
E02000549,2.779,50.222,3.767,1.853,3.411
E02000550,3.105,15.26,4.333,1.146,3.932
E02000551,2.736,45.376,3.665,2.594,3.065
E02000552,2.45,10.87,3.153,0.666,3.026
E02000553,2.381,24.084,3.252,1.718,2.861
E02006792,5.017,125.637,8.284,9.984,5.813
E02006972,5.313,117.603,9.508,10.302,7.287
E02006973,3.837,131.107,8.19,14.047,5.721
E02000554,4.323,37.986,5.169,1.758,4.757
E02000555,4.367,33.123,5.528,2.229,4.952
E02000556,4.547,35.16,5.25,1.579,4.991
E02000557,4.833,29.165,6.245,2.666,5.439
E02000558,4.751,66.503,6.547,4.055,5.583
E02000559,4.942,55.215,5.761,2.419,5.257
E02000560,5.072,42.255,7.015,3.245,6.028
E02000561,5.037,29.041,5.441,1.119,5.228
E02000562,4.942,22.264,5.702,1.411,5.332
E02000563,5.122,48.786,6.641,3.815,5.76
E02000564,5.176,94.54,6.811,4.84,5.885
E02000565,5.082,28.074,6.068,1.616,5.664
E02000566,5.151,53.471,6.903,3.744,6.28
E02000567,5.246,39.321,6.767,2.259,6.179
E02000568,5.719,30.747,7.361,1.942,6.722
E02000569,5.724,46.313,7.911,4.061,6.972
E02000570,6.504,36.668,8.454,2.004,7.945
E02000571,6.144,42.264,7.704,2.858,7.02
E02000572,8.304,82.708,13.106,4.961,12.065
E02000573,7.016,170.029,10.346,9.593,8.435
E02000574,8.661,149.827,13.541,11.15,10.477
E02000575,8.327,148.484,11.468,8.559,9.552
E02000576,8.39,160.378,12.069,11.347,9.88
E02000577,4.731,98.25,6.738,6.705,5.584
E02000578,4.85,20.946,5.815,1.182,5.598
E02000579,5.199,113.041,9.828,8.793,7.008
E02000580,5.885,81.832,8.201,7.13,6.623
E02000581,5.992,167.633,8.42,8.601,6.96
E02000582,5.908,43.454,7.226,3.008,6.448
E02000583,5.686,89.386,7.669,5.434,6.26
E02000584,5.429,143.3,7.583,10.009,6.093
E02000585,5.399,166.679,7.793,9.97,5.901
E02000586,5.653,169.768,7.402,10.115,6.074
E02000587,5.424,147.189,8.133,12.228,5.913
E02000588,6.189,162.11,9.851,14.952,6.644
E02000589,5.71,156.951,9.734,16.305,5.971
E02000590,6.096,162.225,8.736,10.718,6.529
E02000591,5.544,164.52,11.943,16.839,6.145
E02000592,5.843,120.658,8.676,10.139,6.384
E02000593,5.757,134.664,8.653,9.423,6.09
E02000594,5.924,128.038,8.708,8.143,6.628
E02000595,5.945,137.647,7.898,6.866,6.26
E02000596,5.932,103.877,7.51,6.53,6.161
E02000597,5.219,145.647,8.951,10.692,6.133
E02000598,2.783,17.17,3.373,0.984,3.22
E02000599,2.91,85.861,3.712,2.022,3.197
E02000600,2.962,20.664,3.798,1.369,3.449
E02000601,2.945,16.545,3.552,0.992,3.363
E02000602,2.895,89.46,4.477,4.257,3.573
E02000603,2.861,20.232,3.408,1.27,3.162
E02000604,3.095,87.543,3.755,2.544,3.393
E02000605,2.815,18.342,3.266,0.888,3.134
E02000606,2.724,42.975,4.17,3.005,3.379
