MSOA21CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E02006925,34.242,269.542,42.974,15.231,38.801
E02007017,31.086,117.492,35.431,7.556,33.635
E02007018,32.215,107.394,36.428,7.885,34.184
E02007019,35.869,267.232,51.086,23.56,44.094
E02007020,36.037,162.659,41.296,13.081,37.907
E02000784,38.726,122.639,42.212,5.021,41.381
E02000785,36.198,168.529,40.543,9.975,37.792
E02000786,39.129,168.566,45.383,12.707,41.664
E02000787,37.941,402.552,44.275,14.18,40.566
E02000788,35.379,178.199,42.252,14.318,39.49
E02000789,33.859,138.3,37.819,6.021,35.952
E02000790,37.534,185.652,45.676,14.147,41.503
E02000791,35.803,184.482,43.421,11.568,39.825
E02000792,33.999,119.444,39.354,7.322,38.329
E02000793,35.316,105.474,39.565,4.277,38.668
E02000794,35.415,188.284,45.169,15.61,40.861
E02000795,32.532,153.633,34.854,4.141,33.954
E02000796,33.468,146.372,38.978,9.262,36.58
E02000797,33.995,256.678,43.103,15.096,38.853
E02000798,32.275,157.212,38.403,9.056,36.209
E02000799,33.011,110.159,37.308,6.638,35.694
E02000800,32.1,52.745,33.954,1.458,33.686
E02000801,32.657,83.081,36.655,5.205,35.253
E02000802,30.387,88.076,35.282,5.945,34.283
E02000803,29.959,130.68,33.844,5.011,32.708
E02000804,29.892,109.861,32.743,4.547,31.143
E02000805,30.135,193.151,34.692,6.848,33.359
E02000806,28.381,150.872,32.518,7.241,31.004
E02000807,44.426,168.684,49.598,9.806,47.745
E02000808,56.094,406.285,67.149,24.701,60.897
E02000810,48.407,254.131,57.787,13.55,54.423
E02000812,52.142,189.874,63.013,15.722,58.092
E02000813,45.758,164.415,56.347,16.375,51.415
E02000814,44.434,102.992,46.937,4.291,45.989
E02000815,55.538,263.606,66.638,21.169,59.837
E02000816,47.462,136.451,53.328,8.64,50.853
E02000817,44.445,164.915,51.135,10.659,48.47
E02000818,49.446,209.161,59.374,17.123,54.545
E02000819,48.574,215.69,58.488,16.635,53.257
E02000820,49.102,225.488,57.398,15.861,53.601
E02000821,45.926,218.679,53.566,14.309,50.247
E02000822,46.124,104.001,50.837,4.533,50.144
E02000823,47.361,145.665,53.44,10.538,50.616
E02000824,44.425,194.508,51.575,13.228,47.861
E02000825,45.981,121.355,49.723,5.939,48.128
E02000826,45.853,142.535,50.735,6.506,49.199
E02000827,45.507,203.918,56.03,16.402,50.949
E02000828,44.736,162.104,52.428,13.09,48.356
E02000829,43.053,160.958,48.741,10.653,45.916
E02000830,42.232,178.734,48.671,10.212,46.09
E02000831,42.163,125.589,46.806,8.025,44.749
E02000832,39.044,125.423,45.885,7.937,44.117
E02000833,40.542,106.719,44.291,5.312,43.067
E02000834,38.491,153.324,44.521,9.393,42.347
E02000835,37.596,99.947,40.127,3.607,39.514
E02000836,39.333,101.726,43.951,6.937,42.158
E02000837,38.086,146.873,43.314,7.455,41.561
E02000838,37.398,161.704,43.038,9.672,40.42
E02000839,36.18,150.771,40.036,6.988,38.251
E02006802,54.242,356.985,63.957,21.309,58.015
E02006941,52.385,200.358,64.724,14.862,59.908
E02006942,54.962,300.762,65.015,22.797,58.127
E02000840,33.453,125.849,36.589,5.561,35.16
E02000841,32.389,175.016,37.634,9.191,35.009
E02000842,32.034,169.064,37.245,9.931,34.573
E02000843,32.943,123.195,37.108,8.237,35.03
E02000844,32.464,104.938,36.193,5.111,34.898
E02000845,29.82,217.713,32.906,8.86,32.077
E02000846,32.165,173.821,36.273,7.746,34.169
E02000847,29.783,185.524,33.787,8.101,32.355
E02000848,31.029,178.615,35.489,8.994,33.459
E02000849,31.814,195.406,37.248,10.993,34.543
E02000850,31.706,136.171,35.546,5.432,34.427
E02000851,31.634,103.547,36.197,6.953,34.177
E02000852,32.04,107.15,35.139,6.442,33.646
E02000853,30.813,147.453,34.598,8.706,32.662
E02000854,30.945,142.915,35.992,8.376,33.901
E02000855,28.117,134.861,33.679,8.516,31.594
E02000856,30.452,282.574,35.623,12.271,33.523
E02000857,29.522,80.021,32.728,4.492,31.774
E02000858,29.801,116.836,33.873,7.365,32.148
E02000859,28.727,199.373,33.074,10.157,31.431
E02000860,29.426,98.974,32.86,5.702,31.644
E02000861,27.681,82.189,30.959,3.45,30.276
E02000863,26.159,115.493,29.57,5.474,28.423
E02006836,26.384,115.732,30.06,5.59,28.948
E02000864,43.105,177.498,51.131,14.806,47.424
E02000865,48.313,178.68,56.47,12.53,53.072
E02000866,44.207,181.95,51.417,10.833,48.564
E02000867,44.028,213.444,58.348,22.934,50.294
E02000868,50.168,174.237,58.776,13.063,54.919
E02000869,53.58,153.484,60.355,10.086,57.557
E02000870,47.082,152.519,54.077,10.095,51.591
E02000871,46.377,236.135,58.675,24.338,50.451
E02000872,53.507,139.344,60.33,11.013,57.224
E02000873,46.627,256.446,53.497,18.51,49.706
E02000874,50.208,164.736,56.112,10.865,53.188
E02000875,45.449,147.363,49.426,6.619,47.746
E02000876,50.545,259.09,58.791,14.97,54.702
E02000877,45.731,215.562,52.043,9.977,49.239
E02000878,53.985,517.793,63.52,31.895,57.865
E02000879,49.685,248.969,57.068,18.755,52.432
E02000880,50.669,189.165,59.094,14.166,55.473
E02000881,44.694,256.223,57.723,23.591,50.706
E02000882,47.212,194.006,54.171,10.66,51.188
E02000883,46.399,299.345,62.01,29.243,51.983
E02000884,55.403,870.164,67.615,35.798,59.346
E02000885,52.938,163.848,60.519,12.889,56.731
E02000886,48.934,193.831,66.127,24.73,57.279
E02000887,47.098,191.12,57.209,13.579,53.464
E02000888,51.686,319.472,75.697,37.448,62.211
E02000889,50.334,624.071,64.256,33.883,57.482
E02000890,49.638,403.93,63.945,30.909,58.487
E02000893,41.535,59.429,43.952,2.027,43.544
E02000894,42.682,61.449,45.73,2.372,45.35
E02006853,42.796,74.43,45.269,2.352,44.902
E02006854,43.879,211.66,58.366,23.282,50.189
