LSOA11CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E01001685,42.385,77.259,46.917,3.884,46.607
E01001686,46.978,76.071,51.109,5.066,49.794
E01001687,43.86,299.821,57.775,23.006,51.045
E01001688,41.217,121.438,48.51,11.681,45.045
E01001690,43.104,104.34,50.84,8.675,48.868
E01001692,42.705,55.188,46.541,2.394,46.138
E01001693,43.514,146.806,54.688,13.075,49.79
E01001694,42.687,86.657,48.518,8.188,45.852
E01001695,50.399,115.932,58.823,10.559,54.661
E01001696,51.989,263.229,71.686,26.838,63.755
E01001697,50.181,82.728,54.852,5.586,53.251
E01001698,47.961,81.299,51.42,4.55,50.473
E01001699,46.76,204.142,55.901,17.002,50.811
E01001700,49.639,107.634,56.938,10.434,53.451
E01001701,45.842,197.828,53.735,14.74,49.365
E01001702,48.243,132.655,53.664,6.454,52.535
E01001703,47.447,81.212,53.05,5.291,51.686
E01001704,46.695,101.963,53.044,9.784,50.537
E01001705,51.391,128.21,57.036,9.567,55.134
E01001706,48.885,66.671,53.39,2.979,52.869
E01001708,48.885,129.78,53.715,10.019,51.379
E01001709,48.122,220.366,58.678,20.412,52.425
E01001710,51.178,73.709,54.1,2.28,53.829
E01001711,49.083,179.797,57.34,16.673,52.906
E01001712,50.849,223.601,67.562,26.407,59.311
E01001713,50.443,201.373,69.861,30.323,59.896
E01001714,57.81,244.066,72.043,25.661,64.269
E01001715,59.424,75.124,64.046,3.492,63.234
E01001716,59.2,232.934,79.099,35.084,66.615
E01001717,58.811,145.068,66.338,14.735,61.928
E01001718,60.136,229.875,75.13,25.46,66.615
E01001719,60.059,185.452,75.641,25.424,65.327
E01001720,59.295,193.734,72.444,23.964,64.398
E01001722,54.952,143.152,63.35,11.97,60.069
E01001723,55.22,106.939,59.355,5.677,58.155
E01001724,55.632,273.008,80.215,45.592,63.127
E01001725,53.899,64.873,56.353,1.948,55.705
E01001726,56.205,228.361,79.033,45.271,62.123
E01001727,53.041,117.709,55.447,4.489,54.664
E01001728,53.585,142.337,60.033,13.673,56.427
E01001729,56.321,211.719,69.937,19.945,64.512
E01001730,61.078,205.199,78.747,25.113,69.395
E01001731,61.612,353.69,88.156,39.125,72.133
E01001732,61.088,100.848,63.955,4.846,63.172
E01001733,54.555,213.876,66.504,21.2,59.999
E01001734,56.678,334.285,86.522,46.58,70.247
E01001735,57.336,210.561,74.293,23.492,67.374
E01001736,57.153,64.488,58.991,1.342,58.588
E01001737,57.47,150.932,61.563,8.804,60.017
E01001738,59.097,139.682,70.415,17.28,63.707
E01001739,59.196,208.44,70.37,17.588,63.861
E01001740,57.594,78.034,60.597,2.268,60.169
E01001741,57.537,195.709,69.272,24.36,60.73
E01001742,57.431,118.289,64.072,10.557,60.638
E01001744,60.96,348.389,71.899,26.162,65.988
E01001745,58.698,128.09,67.251,11.171,63.027
E01001746,56.032,95.257,63.202,8.914,60.2
E01001747,59.35,224.127,72.997,26.604,64.528
E01001748,60.329,276.773,76.571,27.772,68.413
E01001749,60.764,191.272,80.033,26.607,71.158
E01001750,63.741,206.074,76.113,21.377,68.299
E01001751,63.445,147.788,72.205,14.63,67.151
E01001752,63.814,160.345,73.939,16.95,68.033
E01001753,64.011,150.348,72.965,14.39,67.538
E01001754,63.612,122.634,70.148,9.699,66.752
E01001755,64.894,132.337,73.402,13.069,68.433
E01001756,63.51,338.425,82.731,34.212,71.222
E01001757,61.085,119.059,69.161,10.978,65.975
E01001758,58.68,309.537,75.494,25.626,69.621
E01001759,59.511,100.675,66.141,6.939,64.437
E01001760,65.711,302.232,105.325,44.445,88.045
E01001761,63.964,200.052,83.832,26.565,73.455
E01001762,61.914,381.882,84.702,36.104,72.544
E01001763,60.774,373.596,71.309,27.388,64.468
E01001764,58.463,107.461,64.051,6.756,62.097
E01001765,57.544,161.386,64.407,10.643,61.288
E01001767,57.332,166.93,65.115,16.213,60.672
E01001768,57.207,95.587,62.265,6.128,60.605
E01001769,58.456,199.911,71.92,21.87,63.805
E01001770,58.539,237.585,72.502,23.179,64.565
E01001772,61.958,118.357,67.126,10.095,64.272
E01001773,62.087,185.354,76.218,27.565,67.344
E01001774,61.446,207.055,74.451,21.351,67.341
E01001775,61.166,110.927,67.364,11.176,63.492
E01001776,64.223,227.032,78.522,25.016,69.709
E01001777,65.348,222.01,79.932,27.146,70.753
E01001779,66.319,236.039,81.971,23.892,74.963
E01001780,68.699,384.787,89.822,43.591,76.617
E01001781,63.637,182.232,74.235,19.099,68.412
E01001782,65.062,200.539,71.088,11.632,68.296
E01001783,66.972,160.756,71.95,9.103,69.826
E01001784,65.104,93.948,69.27,4.932,68.048
E01001785,56.145,208.742,67.368,22.474,61.443
E01001786,47.973,167.672,52.646,11.574,49.27
E01001787,49.438,64.492,53.381,2.616,53.317
E01001788,50.436,59.382,53.835,2.078,53.659
E01001789,53.811,63.473,56.403,1.78,56.061
E01001790,51.121,62.384,55.604,2.332,55.536
E01001791,52.354,64.496,56.526,2.146,56.356
