LSOA21CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E01002611,14.474,28.537,15.098,1.227,14.77
E01002612,14.761,25.826,15.572,1.217,15.281
E01002613,14.751,25.991,15.367,1.129,15.074
E01002614,14.304,21.596,14.848,0.735,14.707
E01002615,14.418,28.016,14.847,0.989,14.613
E01002616,14.48,20.752,15.011,0.724,14.796
E01002617,14.323,24.59,14.908,0.786,14.699
E01002618,15.391,21.185,15.745,0.612,15.596
E01002619,15.411,19.347,15.711,0.418,15.608
E01002620,15.395,25.501,16.211,1.398,15.736
E01002621,15.375,31.559,16.372,1.896,15.779
E01002622,15.545,38.187,17.484,3.293,16.399
E01002623,15.627,36.614,17.461,3.118,16.349
E01002624,15.476,24.011,16.072,1.013,15.771
E01002625,15.631,24.618,16.421,1.359,16.016
E01002626,15.68,32.054,17.273,2.294,16.347
E01002627,15.361,17.006,15.762,0.264,15.703
E01002628,15.255,26.863,16.184,1.46,15.738
E01002629,15.346,27.089,15.955,1.229,15.578
E01002630,15.56,41.136,17.048,2.547,16.176
E01002631,15.551,19.827,15.947,0.552,15.786
E01002632,15.641,24.238,16.843,1.79,16.179
E01002633,15.638,42.154,17.225,2.869,16.2
E01002634,15.546,23.706,16.215,0.841,16.058
E01002635,15.543,34.076,16.582,2.339,15.847
E01002636,15.504,18.095,15.805,0.345,15.679
E01002637,15.575,39.749,17.787,3.61,16.538
E01002638,15.465,23.986,16.134,1.196,15.786
E01002639,15.53,19.766,15.944,0.582,15.762
E01002640,15.511,22.726,15.955,0.9,15.73
E01002641,15.514,21.862,16.063,0.697,15.885
E01002643,15.515,25.788,16.105,1.133,15.8
E01002645,15.699,25.033,16.104,0.525,15.993
E01002646,15.397,34.786,16.423,1.866,15.931
E01002647,14.958,24.814,15.544,0.85,15.333
E01002649,15.19,21.611,16.003,0.957,15.777
E01002650,14.656,26.491,15.18,0.79,14.985
E01002651,15.336,21.497,15.691,0.665,15.518
E01002652,14.938,24.985,15.647,1.025,15.367
E01002653,15.335,17.953,15.819,0.302,15.774
E01002654,15.179,17.72,15.438,0.325,15.33
E01002655,15.129,17.938,15.553,0.32,15.499
E01002656,15.176,17.765,15.492,0.42,15.363
E01002657,15.072,17.032,15.402,0.341,15.295
E01002658,15.457,21.099,15.657,0.42,15.581
E01002659,15.246,18.774,15.781,0.422,15.763
E01002660,15.316,25.888,15.584,0.738,15.44
E01002661,15.453,28.001,16.005,1.169,15.751
E01002662,15.441,24.122,16.2,1.113,15.847
E01002663,15.345,26.132,16.062,1.319,15.658
E01002665,15.369,24.548,15.886,1.094,15.653
E01002666,15.459,24.159,15.819,0.634,15.713
E01002667,15.34,30.659,16.016,1.041,15.771
E01002668,15.308,32.544,16.241,1.635,15.762
E01002669,15.198,17.669,15.503,0.302,15.457
E01002670,15.18,25.408,15.68,0.976,15.377
