LSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01033580,28.349,43.56,29.712,1.822,29.111
E01033581,25.857,44.589,27.94,1.531,27.846
E01033582,25.491,37.984,27.001,1.736,26.594
E01033584,28.595,30.797,29.263,0.429,29.204
E01033586,28.372,57.711,29.513,2.007,29.084
E01033587,27.052,67.207,31.019,4.837,29.364
E01033589,26.706,58.949,31.642,6.196,29.159
E01033590,23.112,31.262,23.745,0.99,23.435
E01033591,24.893,55.765,27.278,3.491,26.353
E01033592,23.239,25.113,23.744,0.343,23.669
E01033593,35.493,97.473,45.024,13.185,39.143
E01033594,35.046,230.518,39.1,14.401,35.878
E01033597,33.974,71.143,40.005,8.856,36.194
E01033598,34.177,52.888,36.308,3.535,34.898
E01033599,33.557,39.489,34.134,0.791,33.911
E01033601,34.727,55.376,36.724,2.816,35.947
E01033602,34.301,52.815,35.922,2.379,35.462
E01033603,35.626,133.465,42.05,17.326,36.623
E01033604,35.633,136.057,44.16,15.968,38.047
E01033605,34.279,40.142,35.98,1.205,35.891
E01033699,30.766,52.302,33.871,3.754,32.718
E01033700,31.508,57.382,35.052,5.441,33.093
E01033702,27.625,29.624,28.255,0.42,28.214
E01033703,30.212,50.781,31.757,3.08,30.917
E01033704,30.422,63.956,32.558,4.3,31.175
E01033705,27.984,50.956,29.886,3.171,28.846
E01033706,33.928,84.539,38.983,6.926,36.762
E01033708,35.627,102.721,39.212,8.275,36.639
E01033709,34.362,66.041,37.042,4.104,35.787
E01033710,27.686,29.059,28.246,0.348,28.25
E01033711,35.201,67.406,38.595,4.135,37.448
E01033712,30.959,64.866,32.544,2.164,32.09
E01033713,29.162,47.093,30.12,2.077,29.523
E01033727,28.664,66.493,31.77,5.707,29.88
E01033728,28.532,53.386,29.898,3.255,28.902
E01033729,23.273,39.165,23.938,1.246,23.539
E01033732,28.599,35.307,30.251,1.333,29.83
E01033734,25.799,27.626,26.449,0.371,26.423
E01033735,27.51,53.789,29.584,3.702,28.298
E01033736,25.983,55.016,27.685,2.574,26.949
E01033737,26.724,68.501,31.867,7.078,29.269
E01033738,28.556,75.133,33.899,7.272,31.362
E01033739,24.696,25.983,25.008,0.229,24.98
E01033740,24.931,27.099,25.473,0.306,25.377
E01033741,24.153,66.159,26.267,4.067,25.063
E01033742,25.136,26.969,25.502,0.331,25.404
E01033743,23.79,48.268,24.61,1.569,24.3
E01033744,25.467,53.415,26.843,2.672,26.269
E01033745,24.008,54.49,26.482,3.795,25.199
E01033746,28.09,40.613,29.288,1.734,28.768
E01033784,20.236,53.614,22.663,4.194,21.373
E01033785,20.211,42.045,21.804,2.639,20.851
E01033786,22.503,59.484,25.741,5.395,23.868
E01033787,21.917,47.01,22.969,2.788,22.348
E01033788,22.409,77.91,25.543,6.552,23.39
E01033789,21.334,28.206,21.794,0.71,21.659
E01033790,21.596,27.92,22.301,0.826,22.116
E01033791,22.0,52.947,24.83,4.24,23.494
E01033792,21.912,52.099,24.015,4.185,22.771
E01033862,33.747,71.2,38.89,6.385,36.562
E01033863,33.161,51.615,34.546,1.39,34.357
E01033864,31.997,36.768,32.623,0.578,32.525
E01033865,32.092,79.337,36.175,6.331,34.376
E01033866,31.832,58.874,34.88,5.249,33.207
E01033867,34.798,91.615,36.934,6.187,35.581
E01033868,34.685,52.526,36.723,3.224,35.551
E01033869,32.251,67.484,35.132,5.02,33.476
E01033870,32.605,50.385,34.128,2.201,33.63
E01033871,31.118,57.564,33.186,2.978,32.438
E01033872,32.131,48.1,33.654,2.55,32.889
E01033873,34.082,79.105,39.385,7.848,36.666
E01033874,34.585,65.255,39.544,6.146,37.3
E01033875,32.866,64.348,35.787,4.147,34.589
E01033876,32.91,52.113,34.981,2.73,34.09
E01033877,32.067,51.862,33.501,2.452,32.973
E01033878,31.497,40.956,32.12,0.979,31.924
E01033879,31.118,48.469,32.668,2.592,31.789
E01033880,30.069,75.84,32.192,4.377,30.987
E01033881,30.18,48.787,31.856,2.013,31.509
E01033882,29.33,34.936,30.005,0.842,29.799
E01033883,29.257,52.486,31.181,2.867,30.299
E01033884,34.336,70.037,37.267,4.982,35.499
E01033885,33.593,90.475,38.606,8.347,35.409
E01033911,23.18,38.736,24.236,1.108,24.014
E01033912,24.461,34.007,25.196,1.011,25.018
E01033913,25.025,50.528,27.229,3.437,26.252
E01033914,24.993,34.588,25.75,0.867,25.532
E01033915,26.673,46.323,28.904,2.725,27.897
E01033916,25.78,43.997,27.183,2.149,26.491
E01033917,26.778,33.007,27.621,1.195,27.216
E01033918,26.212,44.561,28.187,3.286,27.116
E01033919,26.613,46.528,28.064,2.86,27.29
E01033920,26.099,46.031,27.198,2.298,26.62
E01033921,25.372,26.368,25.567,0.15,25.538
E01033922,25.366,35.992,26.667,1.806,26.154
E01033923,26.179,40.741,28.3,2.648,27.42
E01033924,25.634,59.991,29.56,5.608,27.547
E01033925,26.444,49.746,29.585,3.889,28.374
E01033926,22.628,67.409,25.035,3.995,24.127
E01033927,24.592,56.587,28.522,5.365,26.606
E01033928,25.318,54.321,27.89,4.373,26.256
E01033929,25.507,49.368,26.687,2.799,26.018
E01033930,25.584,29.661,26.276,0.644,26.132
E01033931,26.551,67.746,29.402,5.353,27.641
E01033932,26.733,56.851,27.6,1.982,27.24
E01033933,27.994,38.219,29.386,1.276,29.148
E01033934,28.625,74.457,32.593,7.993,29.785
E01033935,26.376,83.327,29.505,5.826,27.942
E01033936,27.551,61.422,31.667,5.845,29.616
E01033937,29.322,52.712,31.954,3.49,30.832
E01033938,28.352,84.12,30.78,5.112,29.242
E01033939,28.674,45.113,31.118,2.715,30.578
E01033940,26.772,51.689,28.229,3.323,27.243
E01033941,27.13,49.239,29.854,4.199,28.256
E01033942,26.795,49.126,27.698,1.853,27.188
E01033943,26.296,54.127,28.361,3.081,27.738
E01033944,27.801,81.549,33.433,7.449,30.79
